Date,Time,Beacon,X,Y,State,AxisRaw,AxisOff,AxisRev
2023/10/05,12:38:04,63,1140,276,stop,60,-1,-1
2023/10/05,12:38:05,63,1140,276,stop,60,-1,-1
2023/10/05,12:38:06,63,1136,275,stop,60,-1,-1
2023/10/05,12:38:08,63,1135,275,stop,60,-1,-1
2023/10/05,12:38:09,63,1136,275,stop,60,-1,-1
2023/10/05,12:38:10,63,1135,275,stop,70,-1,-1
2023/10/05,12:38:11,63,1135,275,stop,70,-1,-1
2023/10/05,12:38:12,63,1135,275,stop,70,-1,-1
2023/10/05,12:38:13,63,1135,275,stop,70,-1,-1
2023/10/05,12:38:14,63,1133,274,stop,70,-1,-1
2023/10/05,12:38:19,63,1137,273,stop,70,-1,-1
2023/10/05,12:38:20,63,1136,274,stop,70,-1,-1
2023/10/05,12:38:21,63,1136,274,stop,70,-1,-1
2023/10/05,12:38:22,63,1134,274,stop,70,-1,-1
2023/10/05,12:38:23,63,1135,274,stop,70,-1,-1
2023/10/05,12:38:24,63,1135,274,stop,70,-1,-1
2023/10/05,12:38:25,63,1135,274,stop,70,-1,-1
2023/10/05,12:38:26,63,1136,275,stop,70,-1,-1
2023/10/05,12:38:27,63,1136,275,stop,70,-1,-1
2023/10/05,12:38:28,63,1136,275,stop,70,-1,-1
2023/10/05,12:38:29,63,1138,274,slowmove,70,-1,-1
2023/10/05,12:39:09,63,1246,426,move,80,-1,-1
2023/10/05,12:39:10,63,1335,553,move,80,335,55
2023/10/05,12:39:42,63,1312,464,fastmove,80,335,55
2023/10/05,12:39:43,63,1315,484,move,50,335,25
2023/10/05,12:39:44,63,1312,524,move,50,335,25
2023/10/05,12:39:45,63,1308,550,move,50,335,25
2023/10/05,12:39:46,63,1333,531,slowmove,280,335,255
2023/10/05,12:39:47,63,1346,486,slowmove,300,335,275
2023/10/05,12:39:48,63,1365,520,fastmove,10,335,345
2023/10/05,12:39:49,63,1364,548,move,120,335,95
2023/10/05,12:39:50,63,1285,624,move,120,355,115
2023/10/05,12:39:51,63,1237,646,slowmove,120,5,125
2023/10/05,12:39:52,63,1171,659,move,140,15,155
2023/10/05,12:39:53,63,1071,681,move,150,20,170
2023/10/05,12:39:54,63,973,703,move,150,20,170
2023/10/05,12:39:55,63,959,733,move,140,20,160
2023/10/05,12:39:57,63,908,735,fastmove,100,20,120
2023/10/05,12:39:58,63,853,832,move,120,20,140
2023/10/05,12:39:59,63,763,795,move,120,25,145
2023/10/05,12:40:00,63,701,767,move,180,30,210
2023/10/05,12:40:01,63,646,674,move,180,35,215
2023/10/05,12:40:02,63,618,645,move,200,35,235
2023/10/05,12:40:03,63,613,579,move,200,40,240
2023/10/05,12:40:04,63,572,507,move,200,40,240
2023/10/05,12:40:05,63,530,435,move,200,40,240
2023/10/05,12:40:06,63,488,363,move,120,40,160
2023/10/05,12:40:07,63,410,391,move,120,40,160
2023/10/05,12:40:08,63,331,420,move,120,40,160
2023/10/05,12:40:09,63,227,458,slowmove,130,40,170
2023/10/05,12:40:10,63,172,467,slowmove,130,40,170
2023/10/05,12:40:11,63,117,477,slowmove,130,40,170
2023/10/05,12:40:12,63,117,477,fastmove,200,40,240
2023/10/05,12:40:13,63,117,477,fastmove,200,40,240
2023/10/05,12:40:14,63,76,405,slowmove,230,40,270
2023/10/05,12:40:15,63,76,405,fastmove,190,40,230
2023/10/05,12:40:16,63,22,341,move,170,40,210
2023/10/05,12:40:17,63,22,341,fastmove,210,40,250
2023/10/05,12:40:18,63,22,341,fastmove,300,40,340
2023/10/05,12:40:19,63,74,322,move,320,40,0
2023/10/05,12:41:02,63,590,672,move,300,40,340
2023/10/05,12:41:03,63,661,612,move,290,35,325
2023/10/05,12:41:04,63,705,567,move,340,30,10
2023/10/05,12:41:05,63,741,587,move,340,30,10
2023/10/05,12:41:06,63,690,585,fastmove,290,30,320
2023/10/05,12:41:07,63,666,628,fastmove,250,30,280
2023/10/05,12:41:08,63,655,657,fastmove,250,30,280
2023/10/05,12:41:09,63,694,603,move,210,35,245
2023/10/05,12:41:10,63,704,590,move,210,35,245
2023/10/05,12:41:11,63,709,566,move,160,35,195
2023/10/05,12:41:12,63,672,576,move,140,35,175
2023/10/05,12:41:13,63,635,628,move,150,30,180
2023/10/05,12:41:14,63,669,663,fastmove,190,30,220
2023/10/05,12:41:15,63,633,646,move,300,30,330
2023/10/05,12:41:16,63,685,639,move,300,35,335
2023/10/05,12:41:17,63,674,680,fastmove,260,35,295
2023/10/05,12:41:18,63,653,686,fastmove,220,35,255
2023/10/05,12:41:19,63,660,671,move,220,35,255
2023/10/05,12:41:20,63,660,671,fastmove,160,35,195
2023/10/05,12:41:21,63,717,598,move,140,35,175
2023/10/05,12:41:22,63,730,593,move,140,35,175
2023/10/05,12:41:23,63,819,567,fastmove,220,35,255
2023/10/05,12:41:24,63,905,537,fastmove,220,40,260
2023/10/05,12:41:25,63,913,498,fastmove,290,40,330
2023/10/05,12:41:26,63,917,453,move,330,40,10
2023/10/05,12:41:27,63,969,459,move,330,45,15
2023/10/05,12:41:28,63,994,468,fastmove,10,45,55
2023/10/05,12:41:30,63,1013,634,move,0,45,45
2023/10/05,12:41:31,63,1013,634,fastmove,260,45,305
2023/10/05,12:41:32,63,1013,634,fastmove,220,45,265
2023/10/05,12:41:33,63,1013,634,fastmove,220,45,265
2023/10/05,12:41:34,63,1013,634,fastmove,220,45,265
2023/10/05,12:41:35,63,1003,523,move,220,45,265
2023/10/05,12:41:36,63,993,412,move,220,45,265
2023/10/05,12:41:37,63,984,302,move,240,45,285
